 OTUID	N1_40	E3_60	E1_0	N2_0	E3_40	E2_60	N2_40	E3_0	E2_40	E1_40	N3_60	N1_60	N1_0	N2_60	E1_60	E2_0	N3_0	N3_40
OTU_533	0	1	17	4	0	1	2	8	0	0	3	9	2	2	2	18	8	2
OTU_1822	4	2	7	42	2	0	8	18	2	0	7	6	60	3	4	13	36	11
OTU_536	2	0	0	0	3	1	3	0	0	5	1	3	0	7	0	0	0	1
OTU_1677	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0
OTU_1406	1	12	1	0	2	9	0	0	0	2	5	5	0	3	3	1	1	2
OTU_1124	0	0	3	45	0	0	1	1	0	1	1	3	32	0	1	3	42	2
OTU_426	2	1	0	1	0	0	1	0	0	1	8	19	1	27	0	0	1	1
OTU_309	31	24	15	18	20	20	28	9	20	22	26	37	26	14	22	20	21	37
OTU_1367	0	5	0	0	0	1	1	0	0	1	0	0	0	0	1	0	0	1
OTU_1445	2	0	0	4	0	0	0	4	0	0	0	1	1	0	0	3	2	1
OTU_1773	1	0	1	6	1	0	0	0	0	0	0	0	8	0	0	0	2	0
OTU_1283	1	0	0	7	0	1	2	0	0	0	0	1	7	0	0	0	7	1
OTU_834	4	0	8	107	2	2	7	2	5	4	2	0	39	9	4	40	14	8
OTU_2437	0	2	4	2	1	2	1	1	3	4	2	0	1	1	1	4	2	1
OTU_1084	0	1	8	4	1	0	0	9	1	0	0	0	23	0	3	7	15	0
OTU_2342	1	0	1	2	3	3	1	5	12	3	3	2	3	1	3	2	4	6
OTU_2404	1	2	0	0	1	3	0	0	0	0	2	0	0	0	0	0	0	0
OTU_137	34	0	0	0	1	1	6	0	0	0	91	178	6	175	0	2	0	7
OTU_500	27	4	0	3	1	8	16	0	0	2	32	17	3	25	9	0	7	13
OTU_1311	5	6	34	5	0	3	3	11	4	2	1	2	1	1	2	15	0	1
OTU_557	34	6	5	5	6	7	40	7	3	6	182	63	3	115	10	1	8	42
OTU_1393	1	0	1	3	0	0	1	0	1	0	0	2	3	0	0	4	2	0
OTU_2508	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
OTU_499	2	0	3	11	0	0	4	0	2	0	15	4	14	5	1	1	23	2
OTU_2202	1	0	3	0	0	0	0	1	0	0	4	1	0	0	0	0	0	0
OTU_884	0	0	11	0	0	0	1	3	0	0	0	0	0	0	0	12	0	0
OTU_652	3	1	1	0	2	0	4	1	4	2	1	4	2	3	0	1	0	1
OTU_252	27	21	26	36	24	9	20	17	20	14	21	22	11	18	21	25	24	23
OTU_947	2	0	0	2	0	0	0	2	0	0	3	1	2	0	0	2	0	2
OTU_480	0	3	17	1	0	1	1	15	1	2	1	2	0	1	0	19	2	1
OTU_175	3	3	0	2	0	8	4	2	1	1	3	4	0	7	1	2	3	166
OTU_349	0	0	44	1	1	1	1	19	4	1	0	1	0	0	2	47	2	1
OTU_272	12	21	0	1	13	19	8	1	1	13	6	5	1	3	62	0	0	1
OTU_395	21	9	4	4	16	11	8	0	7	13	8	2	4	5	25	0	4	14
OTU_383	7	0	7	3	4	9	11	8	2	12	5	8	6	3	9	3	4	9
OTU_1323	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	0	0	0
OTU_681	5	4	4	5	1	3	4	6	4	1	4	5	7	5	1	2	4	2
OTU_422	3	9	0	3	3	2	9	0	13	1	3	2	0	5	0	0	0	2
OTU_2098	1	8	0	5	4	4	0	0	2	3	4	28	45	1	18	0	10	0
OTU_2180	4	6	0	0	5	12	0	1	0	3	112	15	2	19	1	0	0	7
OTU_337	27	19	11	13	22	17	21	8	16	15	18	21	6	11	15	15	7	16
OTU_1092	27	0	3	1	0	0	7	0	0	0	9	2	0	34	0	1	0	12
OTU_412	23	0	1	3	3	2	15	0	3	1	7	5	3	3	0	0	6	45
OTU_1397	20	2	7	0	2	2	11	1	3	4	6	15	1	25	2	2	3	19
OTU_763	3	2	3	3	3	2	2	5	2	1	4	3	3	3	1	5	2	4
OTU_910	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0
OTU_2131	15	0	0	0	0	1	46	0	0	0	1	0	0	2	0	0	1	16
OTU_1207	0	4	0	1	3	277	0	24	0	0	33	1	1	0	16	0	16	7
OTU_1880	2	0	0	2	0	0	0	0	0	0	2	1	1	2	0	0	0	0
OTU_1012	2	1	0	1	0	0	0	1	0	1	0	0	1	1	0	0	1	0
OTU_1608	1	1	4	2	3	0	1	1	1	2	1	0	0	0	3	3	1	0
OTU_1894	1	0	0	2	0	0	0	1	0	0	0	1	0	0	2	2	0	0
OTU_854	0	3	0	0	16	0	0	0	0	0	0	0	0	0	1	1	1	0
OTU_2403	18	0	1	0	1	1	0	3	0	0	35	108	1	77	0	1	1	1
OTU_128	10	0	2	0	440	0	34	0	100	12	0	0	1	0	0	1	0	20
OTU_317	4	2	3	8	5	1	5	1	0	0	163	18	9	12	0	0	6	4
OTU_2306	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	1
OTU_509	11	6	14	13	17	16	8	11	8	0	12	7	4	11	5	12	6	7
OTU_1910	17	9	0	0	7	4	10	0	0	5	14	38	0	3	5	0	0	6
OTU_399	3	3	1	3	1	4	3	5	2	3	10	14	1	8	10	4	1	3
OTU_443	12	0	1	5	1	0	20	1	1	0	7	13	9	3	0	0	8	9
OTU_710	3	0	1	1	0	1	3	0	0	0	0	1	1	4	0	1	4	1
OTU_475	4	1	0	13	0	0	6	0	0	0	3	6	15	3	0	0	5	7
OTU_675	3	0	0	1	0	0	0	0	0	0	26	7	3	55	0	0	0	2
OTU_624	7	1	13	12	0	1	3	4	1	0	6	1	14	2	0	12	17	7
OTU_1345	0	0	0	3	0	0	2	0	0	0	0	1	0	0	0	0	0	0
OTU_431	12	0	0	5	0	0	11	0	0	0	6	13	4	25	0	2	0	1
OTU_808	0	1	3	5	1	0	0	5	2	0	0	0	0	0	0	8	0	0
OTU_835	2	0	4	13	1	0	0	4	0	3	0	0	22	1	1	2	11	5
OTU_613	3	2	0	0	1	0	2	0	12	1	0	1	0	1	0	0	0	0
OTU_928	1	0	1	1	0	0	1	2	1	0	0	0	0	1	0	0	0	0
OTU_1713	3	29	2	12	10	33	5	1	22	11	15	7	10	1	12	0	10	3
OTU_505	10	3	5	9	6	3	3	1	9	5	8	5	0	11	8	1	4	8
OTU_888	11	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0
OTU_1001	0	0	5	0	0	0	0	4	0	0	0	0	0	0	0	2	0	0
OTU_1744	1	0	1	0	2	1	1	0	0	0	0	0	0	0	0	1	0	2
OTU_316	32	0	0	3	0	2	45	2	1	2	4	7	1	9	2	1	3	57
OTU_495	10	6	5	6	9	7	15	9	6	5	1	5	1	1	1	10	5	15
OTU_321	7	3	31	66	3	1	7	19	3	1	7	5	42	2	7	37	59	5
OTU_1974	1	0	0	0	0	1	2	0	0	0	2	0	0	5	0	0	0	0
OTU_1321	3	33	0	4	0	3	0	0	5	1	0	26	1	0	74	3	1	0
OTU_2334	0	0	0	0	1	0	0	0	5	0	0	0	2	0	0	0	0	0
OTU_340	1	2	36	0	3	0	2	27	3	3	3	3	2	1	1	49	0	1
OTU_1065	0	0	3	1	0	0	0	1	0	0	0	0	1	0	0	3	3	0
OTU_518	6	7	9	8	6	2	3	13	5	5	8	4	2	8	9	8	4	5
OTU_731	1	0	0	13	0	0	0	1	0	0	1	0	9	0	2	2	14	0
OTU_1861	8	3	0	1	14	8	28	2	18	34	4	2	1	2	4	1	2	21
OTU_1320	5	3	45	45	6	1	6	32	3	0	17	9	39	2	3	55	36	8
OTU_556	2	1	3	1	7	0	1	1	0	0	3	0	1	0	2	2	3	1
OTU_420	1	0	2	27	0	0	4	1	0	0	3	3	23	3	2	1	12	3
OTU_688	10	8	9	6	1	7	8	10	1	1	6	8	4	10	6	8	6	11
OTU_1307	22	0	0	3	0	0	6	0	1	0	4	2	4	1	1	1	3	8
OTU_1645	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_615	1	1	0	9	27	8	1	3	5	1	2	3	5	0	3	0	2	1
OTU_682	0	0	0	0	5	0	0	0	0	1	4	4	0	4	0	0	0	0
OTU_211	2	0	16	121	2	1	2	5	1	0	3	5	107	1	1	9	129	1
OTU_781	1	3	0	5	1	13	6	0	0	0	4	1	2	5	7	0	4	2
OTU_2139	25	0	0	0	0	0	9	0	0	0	1	5	1	21	2	0	0	2
OTU_1373	1	0	0	2	0	0	0	0	0	0	1	0	2	0	0	0	1	0
OTU_2693	2	7	11	7	3	4	7	22	2	2	3	4	7	2	3	12	4	6
OTU_901	1	0	2	4	3	3	0	7	1	0	1	3	3	0	2	2	1	0
OTU_658	2	2	1	4	4	3	2	1	3	5	4	2	2	1	2	2	4	3
OTU_806	1	2	2	1	1	6	2	1	0	3	1	1	4	1	7	3	2	3
OTU_2379	2	0	0	0	1	1	1	0	0	0	14	11	0	4	3	3	0	3
OTU_254	20	2	1	5	2	4	8	1	0	2	8	50	3	36	15	1	2	0
OTU_1015	2	3	0	2	7	1	1	0	5	1	0	0	1	2	1	1	0	0
OTU_796	3	0	0	4	0	0	2	0	0	0	0	0	10	0	0	1	13	0
OTU_792	1	0	1	1	0	0	1	0	0	0	5	2	0	10	0	0	0	3
OTU_534	2	1	0	3	0	0	4	0	21	2	3	2	0	2	0	0	0	4
OTU_542	24	0	4	51	6	5	8	4	0	3	26	22	27	8	1	3	52	22
OTU_1240	3	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0
OTU_626	1	0	5	15	2	1	3	4	1	0	3	0	7	1	1	4	7	0
OTU_487	19	0	1	1	0	0	4	0	0	0	2	3	0	0	0	0	0	30
OTU_1640	3	1	1	0	0	0	3	0	0	0	7	1	0	4	0	0	0	2
OTU_1644	0	0	0	1	3	0	0	0	0	0	0	1	0	0	0	1	1	0
OTU_990	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_673	3	0	1	20	0	0	1	0	0	0	4	3	18	0	2	0	17	8
OTU_1215	0	0	0	0	0	0	1	0	0	0	10	1	0	0	0	0	0	1
OTU_1209	3	0	0	0	0	0	3	0	0	0	2	14	1	21	1	0	0	2
OTU_770	5	4	2	0	1	2	2	0	4	4	1	1	2	2	5	1	3	4
OTU_221	53	3	2	1	2	1	107	2	6	1	8	2	0	56	2	3	1	123
OTU_444	0	0	0	13	0	1	2	0	1	0	2	0	9	0	1	1	6	0
OTU_909	0	0	8	0	2	0	0	7	0	1	0	1	0	0	1	7	0	0
OTU_2201	0	1	0	1	1	0	3	0	0	0	0	0	0	11	0	0	1	4
OTU_239	32	0	0	0	1	1	96	0	0	0	8	15	0	23	1	0	1	6
OTU_1570	2	0	0	5	0	0	0	0	0	0	0	0	3	0	0	0	1	0
OTU_470	10	6	9	3	9	11	12	16	10	4	13	9	8	8	9	7	11	6
OTU_437	3	4	0	55	0	2	1	1	1	0	0	1	22	0	32	1	15	1
OTU_585	10	5	8	6	0	7	5	5	6	5	9	8	11	8	6	8	3	7
OTU_738	1	0	3	3	1	1	3	4	2	3	5	2	2	3	4	4	6	2
OTU_433	41	2	3	5	0	1	25	0	1	3	67	18	22	27	1	1	19	7
OTU_520	0	1	1	32	0	1	1	0	0	0	0	0	14	1	0	0	12	1
OTU_473	0	1	27	0	1	4	2	31	4	0	0	1	0	1	9	35	3	1
OTU_562	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	23
OTU_949	8	1	0	1	0	0	6	0	0	0	3	5	1	7	0	0	2	2
OTU_410	12	0	0	1	1	0	2	0	0	1	9	5	0	41	1	0	0	0
OTU_1635	10	3	3	2	0	0	1	1	1	1	0	3	5	1	1	0	1	2
OTU_2221	0	0	0	2	0	0	0	0	0	0	0	0	1	1	0	0	2	2
OTU_1332	1	1	0	1	3	1	2	2	1	1	0	1	1	1	3	1	0	0
OTU_1401	1	0	1	0	0	0	1	1	1	0	0	1	3	0	0	1	0	1
OTU_693	1	0	3	0	1	2	0	6	0	1	0	1	0	0	1	5	0	0
OTU_543	6	48	4	10	2	48	5	6	8	5	12	10	9	6	54	5	10	5
OTU_2688	0	1	0	1	0	7	0	0	0	0	0	0	1	0	7	1	0	0
OTU_930	1	0	5	4	0	0	0	5	0	0	8	0	6	0	1	7	2	0
OTU_264	3	33	0	1	14	26	1	0	143	6	12	4	1	2	6	0	2	6
OTU_868	0	0	1	8	0	0	1	0	0	0	2	4	6	2	0	0	1	0
OTU_430	7	3	10	8	6	7	10	10	5	4	5	8	12	8	3	7	6	11
OTU_249	34	8	5	13	22	17	28	12	14	18	17	31	16	13	14	7	17	26
OTU_1708	0	0	0	3	0	0	2	0	0	0	0	0	0	1	0	0	0	0
OTU_640	3	0	0	0	0	0	0	9	1	0	2	1	0	0	0	0	2	5
OTU_277	7	0	0	1	1	1	7	0	0	2	18	6	3	95	1	1	1	2
OTU_515	2	5	12	6	2	4	5	4	4	6	4	6	5	1	5	3	7	6
OTU_328	4	1	0	1	83	6	40	5	4	0	1	8	2	45	1	0	0	9
OTU_1969	23	2	2	0	8	1	18	0	9	4	2	2	1	1	0	2	1	33
OTU_605	0	1	7	1	2	2	2	2	0	0	0	0	1	0	0	0	1	8
OTU_512	0	1	6	4	0	0	0	4	0	0	0	0	13	1	3	3	6	0
OTU_1871	10	3	0	0	0	0	13	0	6	2	1	0	1	31	0	1	0	8
OTU_283	1	0	0	3	1	2	2	1	0	0	1	0	3	79	0	0	0	0
OTU_1388	0	0	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
OTU_692	2	0	0	12	0	0	3	0	0	1	3	4	16	3	0	0	10	2
OTU_831	1	3	25	3	4	0	0	23	2	7	1	1	1	2	2	19	4	0
OTU_2118	0	1	1	0	0	0	0	0	0	0	1	0	0	2	0	0	0	0
OTU_2710	62	27	2	1	11	17	31	3	11	11	36	62	1	126	3	1	4	25
OTU_2681	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
OTU_725	1	3	17	33	13	5	5	48	5	1	6	0	11	0	0	59	24	4
OTU_2109	4	1	2	2	6	5	4	12	3	1	9	2	2	3	3	3	5	4
OTU_1973	1	1	4	0	0	0	0	1	1	0	0	0	0	0	0	11	0	0
OTU_2652	0	0	5	2	3	5	0	65	0	1	3	0	0	0	0	6	14	2
OTU_415	0	0	0	1	2	0	5	0	0	0	17	22	0	1	0	0	0	0
OTU_296	10	0	1	0	0	0	5	2	2	0	25	8	1	94	0	2	0	9
OTU_1525	1	0	1	1	0	1	1	3	1	2	2	1	1	2	1	1	0	1
OTU_472	19	1	0	4	2	1	8	3	0	1	15	12	6	9	1	1	7	5
OTU_602	4	0	13	14	2	1	2	15	1	3	1	0	5	2	1	19	9	5
OTU_659	10	4	5	7	4	3	4	9	3	2	6	3	4	2	6	9	5	6
OTU_750	4	0	1	1	1	0	2	1	1	0	7	6	1	7	1	1	0	1
OTU_273	4	0	0	3	0	2	8	0	0	1	10	6	0	20	0	0	0	73
OTU_1579	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	1	3	0
OTU_717	0	0	3	1	3	0	0	0	1	6	0	0	2	0	0	0	1	0
OTU_779	1	3	4	0	2	3	2	1	3	3	2	4	3	7	0	1	3	3
OTU_329	20	3	0	0	1	1	7	0	1	1	48	19	1	35	1	0	1	9
OTU_1177	3	0	0	0	0	0	3	0	0	1	0	0	0	4	0	0	0	0
OTU_384	10	9	13	11	6	9	10	19	7	10	11	11	7	5	6	12	6	18
OTU_529	2	7	0	0	0	9	0	0	0	1	0	0	0	1	12	0	0	0
OTU_1051	0	0	7	8	0	0	1	1	0	0	0	0	4	0	0	5	3	0
OTU_400	0	0	0	41	0	0	0	0	0	0	0	0	31	0	0	0	36	1
OTU_1832	1	1	0	0	0	1	0	0	0	0	0	0	0	1	3	0	0	0
OTU_167	3	0	0	0	1	0	0	1	5	261	0	1	0	0	3	0	0	0
OTU_343	19	7	8	11	21	7	17	11	13	14	16	23	12	14	9	15	14	20
OTU_1200	0	0	7	0	1	0	1	3	0	0	0	0	0	0	1	9	0	0
OTU_1976	0	0	0	3	0	2	0	0	0	0	0	0	1	0	1	1	0	0
OTU_362	16	7	7	3	20	6	14	8	12	11	14	15	3	12	3	4	5	10
OTU_2423	1	0	2	1	0	0	0	0	0	0	0	4	1	0	0	0	0	0
OTU_922	0	2	0	1	0	3	2	1	1	1	0	3	0	3	0	2	2	2
OTU_1251	2	2	1	1	0	1	1	0	0	1	1	0	4	2	0	0	1	1
OTU_1414	3	23	1	0	0	24	3	2	1	2	21	6	2	5	6	1	2	1
OTU_698	2	1	1	7	0	0	8	0	0	0	0	1	8	0	0	0	3	0
OTU_1003	11	0	0	5	0	0	4	0	0	2	11	24	9	7	0	0	1	1
OTU_639	6	7	7	3	4	7	4	3	2	7	1	3	4	2	2	8	3	8
OTU_1692	1	0	11	0	0	2	0	7	0	0	0	0	1	0	1	14	0	0
OTU_541	7	2	8	3	3	6	1	5	1	4	3	9	9	3	3	5	8	2
OTU_1725	5	1	1	3	8	4	6	1	7	7	4	6	2	7	3	0	5	12
OTU_1433	2	8	0	0	5	3	2	1	8	0	0	3	1	0	1	0	0	1
OTU_838	0	1	0	1	1	0	2	1	2	0	1	2	1	0	1	0	2	0
OTU_1096	7	2	0	1	0	0	1	0	0	1	1	3	4	1	0	2	1	1
OTU_942	0	0	2	5	0	1	0	2	1	0	0	0	3	0	0	4	0	0
OTU_394	13	5	8	6	8	12	16	9	15	7	20	14	3	8	15	7	9	9
OTU_271	0	8	80	1	3	5	4	66	4	5	5	2	0	2	4	95	4	4
OTU_606	4	0	0	21	28	1	3	0	20	28	5	2	6	2	6	1	11	7
OTU_1927	7	2	1	0	18	10	16	0	15	221	5	3	0	0	11	0	1	16
OTU_1402	0	0	14	0	0	0	1	14	0	0	2	0	0	0	0	14	0	0
OTU_1037	0	0	4	0	0	0	0	4	0	1	0	0	0	0	0	6	0	0
OTU_1881	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0
OTU_1374	1	0	2	2	3	1	3	7	1	1	5	4	4	5	2	3	3	0
OTU_363	2	3	45	0	0	0	0	15	0	0	2	0	0	0	1	34	2	4
OTU_1185	5	1	37	12	1	2	6	15	2	3	2	9	14	1	2	23	5	2
OTU_452	3	7	4	7	13	4	3	6	6	7	4	11	5	3	6	4	4	5
OTU_1214	8	0	0	1	0	2	26	3	1	2	0	2	0	6	0	0	1	2
OTU_1002	3	0	4	1	2	2	2	4	0	1	2	3	1	1	3	4	2	1
OTU_1040	2	9	19	7	6	10	2	20	12	5	2	0	3	0	5	32	7	2
OTU_1806	4	2	1	0	0	3	3	1	3	2	3	4	1	4	1	1	1	4
OTU_458	2	2	0	0	0	0	0	0	53	22	1	1	0	0	0	0	0	2
OTU_2679	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_1889	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0
OTU_2615	0	0	0	0	0	1	0	2	0	1	2	2	0	1	1	2	3	0
OTU_526	3	0	0	0	0	0	3	0	0	0	4	14	0	34	0	1	0	1
OTU_1830	4	3	1	4	1	4	1	1	1	1	2	4	2	5	3	1	1	1
OTU_2602	0	1	1	3	0	3	0	1	1	2	1	2	2	2	2	1	1	0
OTU_1798	18	0	0	0	1	0	10	0	2	0	8	6	0	0	0	0	0	11
OTU_1117	3	8	0	2	0	19	2	2	2	2	2	2	5	0	2	1	1	1
OTU_709	1	1	0	1	0	0	1	2	0	2	1	1	1	0	6	1	2	0
OTU_2167	13	0	1	1	0	0	12	0	0	0	10	2	2	10	0	0	1	5
OTU_1916	0	0	0	0	0	0	17	0	0	0	0	0	0	4	0	0	0	0
OTU_503	10	6	14	11	4	12	6	7	3	9	8	6	7	5	4	14	12	8
OTU_569	1	0	2	38	1	0	4	1	0	0	3	0	35	1	1	0	24	1
OTU_502	2	1	0	18	1	1	3	0	0	0	6	0	12	1	0	0	25	3
OTU_1930	0	0	0	0	3	0	0	0	2	0	0	0	0	0	0	0	0	0
OTU_1421	0	1	0	0	0	0	0	0	0	0	4	1	0	0	0	2	1	0
OTU_456	2	0	12	35	1	2	1	18	0	0	0	2	18	0	1	14	23	0
OTU_522	5	2	4	4	2	2	4	1	5	1	5	1	1	4	1	4	2	2
OTU_1465	1	41	1	0	1	22	2	2	1	3	1	2	1	1	24	1	0	0
OTU_862	6	6	1	4	3	3	2	6	4	1	4	1	5	1	4	1	2	5
OTU_413	3	2	0	0	0	1	2	0	1	1	4	36	1	4	0	1	0	4
OTU_1039	0	0	0	7	1	1	0	0	0	0	0	1	3	0	0	0	1	0
OTU_1542	3	0	0	5	0	0	0	0	0	1	0	0	5	0	0	0	2	2
OTU_290	4	6	4	25	1	3	2	6	0	15	1	4	18	0	2	8	27	5
OTU_998	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0
OTU_2540	4	1	1	2	0	0	3	0	0	0	1	4	10	2	1	0	0	0
OTU_544	0	0	0	6	0	0	0	0	0	0	0	0	26	0	0	0	4	1
OTU_1511	0	21	0	0	1	13	1	0	1	0	0	1	1	0	4	1	0	0
OTU_927	0	0	33	0	0	0	1	21	0	0	2	0	0	0	0	9	0	0
OTU_407	4	7	1	3	8	5	2	1	9	0	13	4	5	2	3	0	4	3
OTU_691	2	4	5	5	1	7	0	5	3	4	4	3	8	5	4	6	2	4
OTU_686	6	0	0	4	0	0	3	0	0	0	3	5	1	0	0	0	1	6
OTU_785	4	0	0	0	2	0	1	0	0	0	0	1	1	0	0	0	0	1
OTU_2035	2	15	0	8	0	26	0	2	12	2	7	3	3	2	2	0	7	0
OTU_1620	0	0	2	0	0	0	0	0	0	0	0	0	0	0	1	3	0	0
OTU_875	0	0	1	0	1	0	1	2	0	0	1	1	0	1	0	0	3	0
OTU_800	1	0	0	4	0	0	0	0	0	0	0	0	2	0	1	1	1	1
OTU_699	3	1	1	8	7	6	3	8	2	2	5	6	5	2	4	8	2	7
OTU_923	2	0	1	3	0	0	2	5	0	1	3	1	3	2	1	1	1	2
OTU_1000	2	9	0	3	35	12	3	0	2	5	1	7	6	0	29	1	1	3
OTU_1348	1	2	15	5	0	2	2	8	0	0	5	2	5	0	0	14	8	0
OTU_950	2	2	0	1	3	3	2	0	1	2	1	0	4	2	0	0	1	0
OTU_861	5	0	0	5	0	0	3	0	2	0	3	1	3	0	0	0	6	4
OTU_1067	2	1	2	5	4	5	3	2	0	2	5	7	2	4	2	3	0	5
OTU_507	0	0	1	1	0	1	4	0	0	0	25	10	2	7	1	0	5	7
OTU_1565	0	2	0	0	0	0	0	0	0	1	0	0	0	2	2	0	0	0
OTU_1450	1	0	0	2	1	1	3	0	2	5	1	0	2	0	3	0	4	2
OTU_1271	3	1	3	4	2	1	1	4	3	0	6	0	1	1	2	1	0	1
OTU_334	4	1	0	0	0	0	4	0	0	0	46	13	0	8	1	0	0	1
OTU_924	0	1	1	10	0	0	0	0	0	0	0	0	2	0	0	0	3	0
OTU_554	1	0	14	1	0	0	0	11	0	0	0	0	0	0	0	15	0	0
OTU_1992	1	0	1	1	0	1	1	1	0	1	4	0	0	0	0	0	0	1
OTU_467	5	3	5	7	3	8	9	4	7	8	11	5	7	7	5	7	3	12
OTU_2030	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_455	0	0	33	1	1	2	1	13	0	0	1	1	1	3	2	46	0	1
OTU_432	9	7	7	1	4	2	5	5	3	6	4	6	4	2	3	7	5	7
OTU_2243	1	0	0	0	26	0	0	1	0	0	2	0	0	0	0	0	0	3
OTU_281	20	9	9	16	25	19	16	11	13	14	16	20	16	23	19	14	9	19
OTU_424	14	9	7	5	10	11	11	17	6	7	15	12	17	2	11	9	14	12
OTU_833	0	0	5	0	0	0	0	1	1	0	0	0	0	0	0	6	0	0
OTU_483	11	0	0	3	0	0	1	0	0	0	3	2	2	22	0	0	4	0
OTU_752	0	0	15	0	0	0	0	6	0	1	0	2	0	0	0	12	0	1
OTU_350	5	0	0	5	1	1	7	0	0	0	50	18	5	14	0	1	3	12
OTU_367	33	0	0	0	4	0	20	2	0	1	10	10	0	23	2	0	0	9
OTU_1269	0	0	0	4	0	0	0	0	0	0	0	3	2	2	0	0	2	0
OTU_913	0	1	5	2	0	2	1	2	0	2	3	2	1	2	1	0	5	7
OTU_397	5	5	0	4	3	2	5	3	49	4	9	6	2	1	5	2	1	3
OTU_611	6	3	5	4	2	8	8	9	3	4	11	6	2	3	5	6	6	6
OTU_496	1	1	0	0	0	1	19	1	4	1	0	0	1	3	1	0	0	0
OTU_1216	1	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1
OTU_387	3	0	1	3	3	0	6	0	0	0	7	10	1	53	0	2	4	0
OTU_2317	0	1	0	0	3	1	0	0	1	0	0	2	0	0	0	0	0	0
OTU_1740	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0
OTU_1290	2	1	5	0	1	3	0	2	2	0	1	1	0	1	1	2	1	1
OTU_1282	1	2	17	4	1	0	0	11	0	0	0	1	1	0	0	15	0	1
OTU_737	3	0	0	0	0	0	2	0	0	0	8	2	0	15	0	1	0	4
OTU_889	0	0	0	6	0	0	0	0	2	0	0	1	9	0	0	0	5	1
OTU_403	15	11	5	4	11	6	4	3	6	8	9	8	3	4	11	8	1	13
OTU_528	0	0	3	14	0	0	1	2	0	0	0	0	14	0	2	6	9	0
OTU_926	1	4	10	3	1	1	2	6	1	3	1	0	4	2	1	9	4	1
OTU_683	2	3	0	4	1	3	7	0	2	2	4	2	0	5	2	6	6	4
OTU_1472	3	0	0	11	0	0	0	0	1	0	1	0	4	0	0	0	9	1
OTU_423	3	0	3	0	2	0	1	0	2	2	38	13	1	13	0	0	3	12
OTU_1144	0	0	0	0	0	0	0	0	10	1	0	0	0	0	0	0	0	0
OTU_351	1	1	1	0	0	0	2	0	1	1	4	0	1	58	0	0	0	1
OTU_2142	3	0	1	0	2	0	4	0	0	3	1	0	0	5	1	1	0	3
OTU_260	4	74	2	0	1	76	3	7	3	2	3	33	0	0	92	3	3	1
OTU_1446	0	0	0	2	0	0	0	0	0	0	0	0	1	0	1	0	0	2
OTU_1049	4	1	0	2	3	1	1	1	2	3	1	2	1	2	0	1	3	4
OTU_555	17	1	25	0	0	2	5	13	1	6	1	2	0	0	1	17	0	7
OTU_1813	27	12	0	1	13	9	49	1	5	8	16	19	1	3	7	0	2	24
OTU_956	3	3	3	9	2	2	0	3	2	0	6	3	3	2	2	1	23	4
OTU_2426	1	1	1	0	4	2	0	1	1	2	1	0	3	2	0	0	2	2
OTU_1605	1	0	0	2	0	0	0	0	0	0	6	13	0	8	0	1	2	1
OTU_820	0	0	3	1	0	0	0	1	0	0	0	0	0	0	0	4	1	0
OTU_567	5	2	13	7	2	1	2	8	0	2	2	2	4	2	4	9	4	1
OTU_837	1	2	1	0	6	0	1	1	0	3	2	1	1	0	12	1	2	2
OTU_463	2	0	0	1	1	0	11	1	0	3	8	3	1	26	1	0	0	17
OTU_1111	0	1	1	1	2	6	1	0	3	3	1	2	1	1	10	1	0	1
OTU_1475	0	4	3	1	17	1	1	60	1	4	0	1	1	0	1	0	0	0
OTU_1324	3	2	4	3	2	2	1	2	0	1	2	2	5	0	4	1	8	1
OTU_1952	1	1	12	21	1	2	3	56	0	2	2	0	2	2	1	27	11	2
OTU_2487	1	0	2	1	0	3	0	1	0	1	2	0	0	0	1	0	2	1
OTU_344	3	2	0	1	1	0	3	2	1	0	2	2	1	54	0	0	1	2
OTU_906	0	0	1	0	13	1	0	1	0	0	0	0	0	0	0	0	0	0
OTU_933	6	1	2	5	2	1	13	0	0	0	16	7	8	3	2	1	4	6
