Species	S9	S23	S32
Phreatobacter cathodiphilus	0	0.00023	0
Phyllobacterium zundukense	0	0.00113	0.00023
Phytobacter ursingii	0	0	0.00012
Planctomyces sp. SH-PL14	0.00012	0	0
Planctomycetales bacterium	0.00011	0	0
Planctomycetes bacterium Pla110	0	0	0.00012
Planococcus sp. MB-3u-03	0.00021	0	0
Planococcus sp. PAMC 21323	0.00015	0	0
Polaromonas naphthalenivorans	0.00011	0	0
Polynucleobacter necessarius	0.00022	0	0
Pontibacter akesuensis	0.00012	0	0
Pontibacter korlensis	0.00012	0	0
Pontibacter sp. BT214	0.00012	0	0
Porphyrobacter sp. CACIAM 03H1	0.00012	0	0
Porphyromonas asaccharolytica	0.00066	0	0
Porphyromonas cangingivalis	0.00034	0	0
Porphyromonas crevioricanis	0.00035	0	0
Porphyromonas gingivalis	0.0116	0	0
Prevotella dentalis	0.00106	0	0.00012
Prevotella denticola	0.00172	0.00023	0
Prevotella enoeca	0.00126	0	0
Prevotella fusca	0.00192	0	0
Prevotella intermedia	0.04648	0	0.00038
Prevotella jejuni	0.00629	0	0.00014
Prevotella melaninogenica	0.09345	0	0.00057
Prevotella oris	0.01979	0	0.00038
Prevotella ruminicola	0.00055	0	0.00035
Prevotella scopos	0.00255	0	0.00016
Prevotella sp. oral taxon 299	0.00931	0	0
Prochlorococcus marinus	0	0	0.00012
Prolixibacteraceae bacterium WC007	0.00011	0	0
Propionibacterium australiense	0	0	0.00012
Proteiniphilum saccharofermentans	0.00011	0	0
Proteus cibarius	0.00015	0	0
Providencia heimbachae	0.00012	0	0
Providencia sneebia	0.00011	0	0
Pseudarthrobacter phenanthrenivorans	0.00011	0	0
Pseudobutyrivibrio xylanivorans	0.00045	0	0.00012
Pseudodesulfovibrio piezophilus	0.00022	0	0
Pseudomonas aeruginosa	0.00029	0	0
Pseudomonas brenneri	0	0	0.00015
Pseudomonas chlororaphis	0.00013	0	0.00035
Pseudomonas entomophila	0.00012	0	0
Pseudomonas frederiksbergensis	0.00013	0	0
Pseudomonas mandelii	0.00015	0	0
Pseudomonas mendocina	0	0	0.00013
Pseudomonas nitroreducens	0	0	0.00014
Pseudomonas orientalis	0.00012	0	0
Pseudomonas oryzae	0	0	0.00013
Pseudomonas sp. CC6-YY-74	0.00011	0	0
Pseudomonas sp. DY-1	0	0	0.00012
Pseudomonas sp. LBUM920	0	0	0.00015
Pseudomonas sp. URMO17WK12:I11	0	0.00068	0
Pseudomonas xanthomarina	0.00011	0	0
Pseudonocardia dioxanivorans	0	0	0.00014
Pseudonocardia sp. HH130630-07	0.00011	0	0
Pseudopedobacter saltans	0.00019	0	0
Pseudopropionibacterium propionicum	0.00011	0	0
Pseudothermotoga hypogea	0	0	0.00012
Pseudovibrio sp. FO-BEG1	0.00012	0	0
Pseudoxanthomonas suwonensis	0	0	0.00012
Ralstonia pickettii	0	0.00068	0.00046
Ramlibacter tataouinensis	0.00011	0	0
Rathayibacter iranicus	0	0.00023	0
Rhizobium jaguaris	0	0	0.00012
Rhodobacter sp. LPB0142	0	0	0.00012
Rhodococcus opacus	0.00024	0	0
Rhodococcus sp. SGAir0479	0.00015	0	0
Rhodococcus sp. YL-1	0	0	0.00026
Rhodospirillum centenum	0.00013	0	0
Rhodospirillum rubrum	0	0	0.00012
Rhodothermaceae bacterium	0	0	0.00012
Rhodothermaceae bacterium RA	0.00011	0	0
Rhodovulum sp. P5	0.00012	0	0
Riemerella anatipestifer	0.00012	0	0
Robiginitalea biformata	0.00011	0	0
Rodentibacter pneumotropicus	0.00011	0	0
Roseburia hominis	0.00017	0	0.0018
Roseburia intestinalis	0.00014	0	0.00093
Roseimicrobium sp. ORNL1	0.00014	0	0
Roseomonas gilardii	0	0.00068	0
Roseomonas sp. FDAARGOS_362	0	0	0.00027
Rothia aeria	0.00022	0	0
Rothia mucilaginosa	0.01771	0.00341	0.00051
Rubrobacter xylanophilus	0.00011	0	0
Ruminococcaceae bacterium CPB6	0	0	0.00018
Ruminococcus champanellensis	0.00011	0	0.00033
Ruminococcus sp. JE7A12	0	0	0.00051
Ruthenibacterium lactatiformans	0.00013	0	0.00165
Saccharomonospora cyanea	0.00022	0	0
Saccharomonospora marina	0.00011	0	0.00012
Saccharomonospora sp. 31sw	0.00011	0	0
Saccharospirillum mangrovi	0.00011	0	0
Saccharothrix espanaensis	0	0.00023	0.00013
Salegentibacter salegens	0.00011	0	0
Salinicoccus halodurans	0.00011	0	0
Salipiger profundus	0	0	0.00012
Salmonella enterica	0	0.00072	0.00057
Schaalia cardiffensis	0.00078	0	0.00012
Schaalia meyeri	0.00409	0.00023	0.00024
Schaalia odontolytica	0.115	0.0084	0.00038
Sediminispirochaeta smaragdinae	0.00011	0	0
Selenomonas ruminantium	0	0	0.00012
Selenomonas sp. oral taxon 126	0.00287	0	0
Selenomonas sp. oral taxon 136	0.01878	0	0
Selenomonas sp. oral taxon 478	0.0265	0	0
Selenomonas sp. oral taxon 920	0.00165	0	0
Selenomonas sputigena	0.00972	0	0
Serratia marcescens	0	0	0.00012
Serratia odorifera	0.00047	0	0
Serratia sp. ATCC 39006	0.00012	0	0
Severe acute respiratory syndrome-related coronavirus	0.00077	0.00045	0.00023
Shewanella marisflavi	0.00011	0	0
Shewanella pealeana	0	0	0.00012
Shigella flexneri	0	0	0.00016
Shigella sonnei	0	0	0.00029
Shinella sp. HZN7	0	0.00023	0
Siansivirga zeaxanthinifaciens	0.00024	0	0
Sideroxydans lithotrophicus	0.00011	0	0
Simiduia agarivorans	0	0	0.00012
Singulisphaera acidiphila	0	0.00023	0
Skermanella pratensis	0.00012	0	0
Solitalea canadensis	0.00014	0	0
Sorangium cellulosum	0.00011	0.00023	0
Sphaerobacter thermophilus	0	0	0.00012
Sphaerospermopsis kisseleviana	0.00015	0	0
Sphaerotilus natans	0	0	0.00012
Sphingobacterium psychroaquaticum	0.00014	0	0
Sphingobacterium sp. 21	0	0	0.00012
Sphingobacterium sp. dk4302	0	0	0.00012
Sphingobacterium sp. DR205	0.00024	0	0
Sphingomonas panacis	0	0	0.00012
Sphingomonas sp. AAP5	0	0	0.00019
Sphingomonas sp. IC081	0	0	0.00016
Sphingopyxis fribergensis	0	0	0.00012
Spiroplasma gladiatoris	0	0	0.00012
Spirosoma aerolatum	0	0.00033	0.00035
Spirosoma rigui	0.00023	0	0
Spirosoma sp. I-24	0.00011	0.00035	0
Sporomusa termitida	0.00022	0	0
Staphylococcus agnetis	0.00016	0	0
Staphylococcus capitis	0.00016	0	0
Staphylococcus caprae	0.00015	0	0
Streptococcus acidominimus	0.00011	0	0
Streptococcus agalactiae	0	0.00026	0
Streptococcus anginosus	0.00025	0.00777	0
Streptococcus australis	0.00056	0.00115	0
Streptococcus constellatus	0.00022	0.00023	0
Streptococcus cristatus	0.00012	0.00069	0
Streptococcus dysgalactiae	0	0.00027	0
Streptococcus equinus	0.00063	0.00071	0
Streptococcus gordonii	0.00045	0.00387	0.00013
Streptococcus gwangjuense	0.00012	0.00115	0.00018
Streptococcus infantis	0	0.00029	0
Streptococcus intermedius	0.00027	0	0
Streptococcus koreensis	0.00095	0.00047	0
Streptococcus merionis	0.00011	0.00045	0
Streptococcus milleri	0.00036	0.00165	0
Streptococcus mitis	0.00092	0.01966	0.00051
Streptococcus mutans	0	0	0.00013
Streptococcus oralis	0.00049	0.004	0
Streptococcus parasanguinis	0.02982	0.02088	0.00017
Streptococcus pasteurianus	0	0	0.00018
Streptococcus periodonticum	0	0.00047	0
Streptococcus pneumoniae	0.00014	0.00226	0.00032
Streptococcus pseudopneumoniae	0	0.0007	0
Streptococcus pyogenes	0	0.00023	0.00016
Streptococcus salivarius	0.06239	0.05882	0.00222
Streptococcus sp. 116-D4	0.00034	0.00091	0
Streptococcus sp. A12	0.00057	0.00184	0
Streptococcus sp. FDAARGOS_192	0.00063	0.00048	0
Streptococcus sp. HSISM1	0.00292	0.03858	0.00099
Streptococcus sp. HSISS1	0	0.00131	0
Streptococcus sp. HSISS2	0.00015	0.00051	0.00027
Streptococcus sp. HSISS3	0.00043	0	0
Streptococcus sp. I-G2	0.00096	0.0005	0
Streptococcus sp. I-P16	0.00069	0.00075	0
Streptococcus sp. LPB0220	0.00344	0.04771	0.00017
Streptococcus sp. NPS 308	0.00012	0	0
Streptococcus sp. oral taxon 064	0.00012	0	0
Streptococcus sp. oral taxon 431	0.00759	0.00365	0.00027
Streptococcus suis	0.00046	0	0
Streptococcus thermophilus	0.00162	0.00183	0
Streptococcus troglodytae	0.00011	0	0
Streptococcus vestibularis	0.00034	0.00046	0
Streptococcus viridans	0.00023	0.00161	0.00035
Streptomyces ambofaciens	0	0	0.00017
Streptomyces asterosporus	0.00014	0	0
Streptomyces davaonensis	0	0	0.00015
Streptomyces formicae	0	0	0.00017
Streptomyces hygroscopicus	0	0	0.00058
Streptomyces koyangensis	0.00021	0	0
Streptomyces lunaelactis	0.00012	0	0
Streptomyces peucetius	0.00012	0	0
Streptomyces scabiei	0.00013	0	0
Streptomyces sp. CCM_MD2014	0	0	0.0003
Streptomyces sp. CdTB01	0.00028	0	0
Streptomyces sp. HM190	0	0	0.00016
Streptomyces sp. YIM 121038	0.00019	0	0
Streptomyces spectabilis	0	0	0.00016
Streptomyces venezuelae	0.00013	0	0
Streptomyces vietnamensis	0.00013	0	0
Streptomyces viridosporus	0	0	0.00018
Streptomyces xinghaiensis	0	0	0.00014
Sulfitobacter sp. SK025	0.00012	0	0
Sutterella faecalis	0.00011	0	0
Sutterella megalosphaeroides	0.00011	0	0.00012
Swingsia sp. F3b2	0	0	0.00012
Synechococcus sp. PCC 7336	0.00012	0	0
Syntrophobotulus glycolicus	0.00011	0	0
Tannerella forsythia	0.00062	0	0.00012
Tannerella sp. oral taxon HOT-286	0.00023	0	0
Tateyamaria omphalii	0	0	0.00012
Tenacibaculum sp. DSM 106434	0	0	0.00012
Tenacibaculum todarodis	0.00012	0	0
Tenericutes bacterium MZ-XQ	0.00011	0	0
Tepidanaerobacter acetatoxydans	0	0	0.00012
Terriglobus roseus	0.00011	0	0
Tessaracoccus timonensis	0.00012	0	0.00014
Thermaerobacter marianensis	0.00011	0	0
Thermanaerovibrio acidaminovorans	0.00011	0	0
Thermoanaerobacterium xylanolyticum	0.00022	0	0
Thermobacillus composti	0	0	0.00012
Thermobifida fusca	0.00011	0	0
Thermoclostridium stercorarium	0.00011	0	0
Thermovirga lienii	0.00012	0	0
Thermus sp. CCB_US3_UF1	0	0	0.00012
Thioalkalivibrio sp. K90mix	0	0	0.00012
Thiomicrospira aerophila	0.00017	0	0
Thiomonas sp. X19	0.00011	0	0.00012
TM7 phylum sp. oral taxon 488	0.00062	0	0
TM7 phylum sp. oral taxon 957	0.00173	0.00023	0
Treponema azotonutricium	0.00011	0	0
Treponema brennaborense	0.00011	0	0
Treponema denticola	0.00077	0	0
Treponema phagedenis	0.00011	0	0.00023
Treponema putidum	0.00011	0	0
Treponema sp. OMZ 804	0.00847	0	0
Treponema sp. OMZ 838	0.00078	0	0.00047
Treponema succinifaciens	0.00024	0	0
Tsukamurella phage TPA2	0.00011	0	0
Turicibacter sp. H121	0	0.00023	0
uncultured crAssphage	0	0	0.00059
Variovorax sp. PBL-H6	0.00012	0	0
Variovorax sp. WDL1	0.00013	0	0
Veillonella atypica	0.04867	0.00704	0
Veillonella dispar	0.06689	0.0193	0.00037
Veillonella parvula	0.03076	0.01521	0.00221
Veillonella rodentium	0.00123	0.00023	0
Veillonella sp. OK1	0.00011	0	0
Vibrio alfacsensis	0.00019	0	0
Vibrio fluvialis	0.00022	0	0
Vibrio sp. THAF100	0.00012	0	0
Vibrio sp. ZWAL4003	0.00013	0	0
Virgibacillus halodenitrificans	0.00023	0	0
Virgibacillus necropolis	0.00023	0	0
Vulgatibacter incomptus	0	0	0.00012
Wenyingzhuangia fucanilytica	0.00012	0	0
Xanthomonas cassavae	0	0	0.00012
Xanthomonas citri	0	0	0.00012
Xanthomonas vesicatoria	0.00023	0	0
Xylanimonas allomyrinae	0.00012	0	0
Yangia pacifica	0	0	0.00012
Yersinia hibernica	0.00012	0	0
Yersinia ruckeri	0	0	0.00012
